1597404	14	84	20	Москва
1597418	10	151	14	Томск
1597421	6	162	-	Краснодар
1597446	19	182	-	-
1597766	13	183	-	Алматы
1597061	14	217	-	Санкт-Петербург
1597106	18	250	20	Санкт-Петербург
1597247	108	372	-	Николаев
1597340	10	182	20	Москва
1597371	10	135	-	-
1596760	4	120	15	Frankfurt am Main
1596767	20	195	102	Кириши
1596771	21	141	21	Киев
1596774	10	163	-	-
1596549	9	415	-	Санкт-Петербург
1596571	11	272	-	Николаев
1596591	27	268	20	Мончегорск
1596593	16	210	-	Москва
1596603	15	188	25	Санкт-Петербург
1596788	11	161	-	Алматы
1596897	7	336	14	Москва
1596369	2	171	-	Кемерово
1596382	8	201	18	Саратов
1596385	5	117	-	Полтава
1596388	15	195	15	Ростов-на-Дону
1596390	8	381	-	Бисерть
1596391	7	140	-	Североморск
1596440	10	126	-	Москва
1596443	13	158	20	Минск
1596448	8	78	-	-
1596515	6	88	18	Москва
1596269	6	3	21	Челябинск
1596283	12	151	22	Лабинск
1595760	12	259	22	Warszawa
1595768	7	215	-	-
1595773	22	289	-	Липецк
1595787	14	284	22	Бишкек
1595791	2	138	-	-
1595838	2	287	-	Санкт-Петербург
1595600	3	508	-	Полтава
1595458	3	650	-	-
1595463	16	593	-	-
1595508	7	552	-	-
1595510	9	280	-	-
1595512	1	533	-	-
1595513	2	702	-	-
1595536	8	273	-	Санкт-Петербург
1595563	33	619	-	Санкт-Петербург
1595571	2	181	-	-
1595582	22	217	18	Самара
1595329	6	433	-	-
1595333	7	196	23	Иркутск
1595361	11	350	-	Bergen
1595373	2	128	18	-
1595401	12	412	-	-
1595435	18	253	-	-
1595443	10	238	-	Новосибирск
1595265	3	72	-	Уфа
1595267	16	339	-	Кропоткин
1595273	5	183	-	-
1595288	31	224	25	Пермь
1595296	21	231	25	Санкт-Петербург
1595298	10	501	22	Бишкек
1595389	19	362	-	Хабаровск
1595395	25	480	-	Санкт-Петербург
1594908	5	222	-	Алматы
1594920	60	175	-	-
1594932	11	368	-	Москва
1595143	58	249	-	-
1594765	4	340	-	-
1594766	5	178	-	-
1594768	8	253	-	Алматы
1594770	10	212	-	-
1594785	7	265	-	Кременчуг
1594792	9	203	-	Мурманск
1594793	22	205	23	Пушкинские Горы
1595032	12	148	-	Бишкек
1594694	13	137	-	Козова
1594513	4	263	27	Москва
1594518	6	227	-	-
1593718	9	543	-	-
1593526	12	163	23	Пушкинские Горы
1593528	8	115	-	Москва
1594383	12	79	-	Усинск
1593288	8	535	-	-
1593295	15	551	-	-
1593333	14	508	-	Гомель
1593082	9	241	-	Тирасполь
1593093	5	253	16	Петропавловск
1592816	2	456	18	Санкт-Петербург
1592890	3	633	-	-
1592896	5	286	-	Москва
1592454	42	312	25	Санкт-Петербург
1592521	9	322	-	Санкт-Петербург
1592239	6	436	-	Сарапул
1592247	19	227	26	-
1592283	8	390	21	Toronto
1592430	3	118	25	-
1592495	18	277	-	Белово
1592592	17	201	-	-
1592070	10	190	19	-
1592074	9	177	20	-
1592097	9	174	19	-
1591929	11	396	19	Вологда
1591940	12	241	20	Москва
1591944	23	271	-	-
1591956	9	324	19	-
1591966	10	166	-	Ижевск
1591972	9	326	-	Ярославль
1592681	26	45	18	London
1591811	8	185	15	Санкт-Петербург
1592151	5	112	-	Актау
1591562	6	215	-	Уральск
1591566	4	142	-	Алматы
1591724	6	214	14	Уфа
1591759	11	189	-	Санкт-Петербург
1591871	3	167	-	-
1591378	4	200	-	-
1591386	17	133	-	Одесса
1591406	4	115	-	Полтава
1591500	22	155	20	Харьков
1590802	18	267	-	-
1591243	9	269	-	Отрадный
1590602	3	232	25	-
1590618	8	121	-	Москва
1590673	25	252	-	-
1590750	9	405	100	-
1590437	3	203	-	-
1590525	13	140	19	-
1590547	7	206	-	-
1590550	48	237	-	Ярославль
1590615	7	133	-	Запорожье
1590645	10	134	17	-
1590040	5	733	-	Санкт-Петербург
1590062	6	610	-	Москва
1590079	14	618	22	Бишкек
1590098	9	381	-	-
1590128	7	687	-	-
1590156	4	197	-	Санкт-Петербург
1590192	8	255	-	Москва
1590204	5	192	-	Грозный
1590218	8	168	-	Москва
1590366	13	142	19	Вологда
1589852	6	282	-	-
1589854	9	245	23	Нижнекамск
1589936	32	400	-	Санкт-Петербург
1589984	14	238	-	-
1589763	8	283	15	Саратов
1589772	4	121	-	Томск
1589777	7	186	-	Чита
1589791	10	108	-	Хабаровск
1589794	9	182	-	Кропоткин
1589806	72	203	-	-
1589591	5	98	-	-
1589598	6	153	-	-
1589600	18	188	-	-
1589618	1	200	-	Тамбов
1589643	1	450	-	Тамбов
1589232	6	172	-	-
1589238	8	571	26	Москва
1589262	15	385	-	Мурманск
1589273	12	466	23	-
1589380	15	258	-	-
1589401	10	279	-	Adelaide
1589417	7	219	-	Barcelona
1589487	13	226	-	Москва
1589520	15	295	22	-
1590198	16	86	23	Иваново
1589031	3	197	-	-
1589057	17	474	-	Санкт-Петербург
1589062	7	198	-	Санкт-Петербург
1589074	15	205	-	Алматы
1589081	23	256	-	-
1589167	19	208	23	-
1588653	4	557	-	Рязань
1588659	8	288	17	Владивосток
1588666	27	441	-	-
1588674	13	318	-	-
1588682	8	309	-	Днепропетровск (Днепр)
1588684	8	341	19	Вологда
1588711	10	391	-	Петропавловск
1588726	11	281	52	Brugge
1588735	9	284	-	Саранск
1588758	16	270	-	-
1588528	9	360	-	-
1588535	8	198	31	Москва
1588631	26	152	52	Brugge
1588851	22	146	16	Миллерово
1588383	3	549	-	Chicago
1588384	10	1108	-	-
1588389	5	548	-	Алматы
1588393	3	120	-	-
1588397	7	423	24	Красноярск
1588402	5	326	18	Москва
1588417	6	230	-	-
1588678	10	454	19	Вологда
1588283	14	129	-	Алматы
1588303	17	236	-	Рязань
1587647	10	663	22	-
1588155	8	226	-	Miami
1588247	20	441	-	Москва
1587380	6	411	-	Белгород
1587382	4	274	15	Тамбов
1587387	4	381	-	-
1587390	12	319	25	Санкт-Петербург
1587394	5	269	-	Москва
1587397	10	301	-	München
1587398	6	187	-	-
1587406	1	397	17	Manchester
1587436	6	127	-	Poznań
1587445	7	290	-	Москва
1587284	10	741	-	Hell
1587285	3	472	-	Ровно
1587297	19	350	27	Санкт-Петербург
1587320	5	212	-	-
1587332	20	336	-	-
1587333	13	603	-	Волгоград
1586790	2	46	-	-
1586793	2	446	-	České Budějovice
1586799	3	239	-	Москва
1586808	9	446	-	Пушкино
1586864	8	356	-	Челябинск
1586906	24	523	25	Санкт-Петербург
1588121	5	42	31	-
1586596	2	120	-	Псков
1586607	7	173	19	-
1586624	9	168	-	-
1586642	1	173	-	-
1586661	4	6	21	Москва
1586683	2	43	19	-
1586684	2	6	22	Москва
1586388	4	183	-	Seoul
1586389	11	490	24	Нижний Тагил
1586412	6	210	31	Москва
1586680	4	26	15	-
1586472	2	11	116	-
1585958	4	121	116	Санкт-Петербург
1585959	1	78	23	Дубна
1585966	1	98	-	-
1585887	11	358	-	Москва
1585898	21	284	-	Москва
1585913	5	370	-	-
1585926	25	291	25	Санкт-Петербург
1586146	38	236	72	-
1585756	20	177	-	-
1585759	5	364	-	-
1585766	11	283	-	-
1585772	13	231	-	Красноярск
1585775	24	242	17	Карачев
1585840	39	276	-	Тольятти
1585882	17	384	112	-
1586172	8	225	-	Москва
1585224	4	237	-	Киев
1585231	21	226	-	Москва
1585246	18	559	15	Саратов
1585250	16	239	-	Киев
1585269	7	288	-	Москва
1585272	22	155	-	Киев
1585274	25	260	15	Саратов
1585281	14	162	-	Волгодонск
1585296	12	199	-	Кострома
1585298	14	115	25	Екатеринбург
1585106	1	168	72	Ōsaka
1585107	2	260	19	Бельцы
1585119	4	262	-	Москва
1585124	6	153	-	Екатеринбург
1585132	13	118	25	Санкт-Петербург
1585197	8	152	-	Липецк
1585205	10	193	15	Саратов
1585393	4	175	14	Актобе
1584986	1	11	-	Севастополь
1585174	12	215	-	Дербент
1585199	16	155	-	Москва
1585336	10	174	-	-
1584717	8	469	33	Кемерово
1584719	4	336	-	Santa Fe
1584723	4	177	15	Саратов
1584724	2	316	-	-
1584767	4	338	-	-
1584770	7	290	-	-
1584771	2	215	-	-
1584780	2	165	-	Санкт-Петербург
1584781	2	289	-	-
1584836	20	125	-	Липецк
1584276	16	216	25	Санкт-Петербург
1584278	18	156	-	-
1584288	15	206	-	Кострома
1584309	21	226	40	Львов
1584316	12	328	19	Вологда
1584335	16	281	15	Саратов
1584341	17	244	-	-
1584365	10	282	-	Москва
1584376	15	133	15	Саратов
1584454	6	126	16	-
1584054	27	370	-	-
1584067	5	125	-	Хабаровск
1584218	25	154	-	-
1584231	12	82	-	Санкт-Петербург
1584668	9	154	-	Москва
1583689	16	215	-	-
1583779	7	354	25	Санкт-Петербург
1583794	9	295	-	Санкт-Петербург
1583798	4	139	-	Пермь
1583816	485	230	18	Москва
1583846	484	155	-	Санкт-Петербург
1583880	2	11	22	Санкт-Петербург
1583882	1	46	-	Чушка
1583891	2	2	-	Москва
1583892	2	21	-	Санкт-Петербург
1583383	7	185	19	-
