1560273	13	17586
1559847	10	13834
1559086	15	11403
1558812	14	8093
1558658	11	9099
1558507	30	7467
1557978	5	11239
1557808	12	9112
1557612	18	10623
1557168	29	8482
1556755	4	8127
1556550	91	9640
1556374	19	11941
1556083	4	8913
1555922	0	7218
1555739	11	14004
1555371	16	6744
1555248	45	5100
1555128	15	8413
1554724	48	5298
1554600	12	13808
1554456	18	8222
1554320	13	9477
1554234	19	12685
1553516	27	4373
1553384	19	9664
1553270	10	12060
1553032	19	9464
1552467	19	7670
1552283	17	7859
1552048	18	8518
1551653	20	7818
1551539	9	8112
1551378	27	6130
1551228	11	15962
1551089	20	14196
1550562	6	14334
1550408	13	12712
1550234	6	9742
1549720	7	15952
1549550	15	10591
1549318	23	13749
1548874	15	11743
1548600	1	9380
1548365	5	8541
1548187	14	7550
1548033	19	13156
1547900	66	3358
1547763	43	2965
1547480	5	8126
1546991	11	13652
1546435	11	17734
1546387	11	6870
1546266	0	8254
1545807	6	8117
1545627	17	7413
1545419	8	13130
1544675	18	14182
1544425	10	10230
1543982	19	6261
1543751	16	8394
1543548	10	14789
1543145	4	11954
1543006	36	11546
1542250	14	7949
1542119	7	18279
1541792	0	7449
1541565	23	13593
1541415	7	8107
1541150	4	11090
1540941	12	11710
1540778	0	6051
1540396	6	13207
1540223	13	8523
1540071	17	10179
1539930	17	10929
1539823	26	8186
1539709	12	11851
1539263	8	7315
1539147	0	15388
1538972	14	9524
1538826	13	15471
1538436	20	10875
1538145	10	5151
1537903	19	8019
1537750	39	10475
1537363	30	7031
1537220	19	14382
1537028	28	5908
1536626	16	11565
1536450	8	12969
1536227	31	8268
1536026	11	9065
1535858	23	5911
1535756	48	6780
1535588	14	10468
1535350	18	17107
1535188	27	7592
1534758	13	8573
1534588	12	14365
1534483	3	7942
1534151	7	8820
1534009	12	8180
1533849	14	15063
1533426	6	17224
1533330	13	8604
1532466	11	10450
1532371	20	7509
1532125	25	7759
1531700	4	9463
1530800	2	9943
1530524	18	11031
1530236	6	7899
1530050	14	9528
1529647	20	6900
1529392	8	9269
1529290	23	3840
1529103	13	10261
1528778	15	6763
1528572	16	12299
1528383	8	7280
1528279	36	4396
